business_id,business_name,product_title,product_id,review_month,review_id,user_id,review_date,review_title,verified_purchase,stars,anomaly_score,fraud_like_score,review_length,word_count,useful,funny,cool,is_extreme_rating,rating_deviation_from_business_average,rating_deviation_from_product_average,reviewer_average_rating,reviewer_review_count,reviewer_extreme_rating_share,reviewer_five_star_share,reviewer_one_star_share,uppercase_share,repeated_character_flag,avg_word_length,no_space_ratio,generic_praise_flag,html_break_count,text_formatting_anomaly_flag,sentence_count,avg_sentence_length,sentence_length_variability,first_person_flag,concrete_detail_flag,balanced_pros_cons_flag,specific_experience_flag,repeated_promotional_language_flag,synthetic_templated_language_score,synthetic_language_signal,low_star_manipulation_signal,near_duplicate_review_count,very_short_five_star_signal,high_rating_short_text_signal,extreme_deviation_signal,duplicate_text_signal,burst_signal,extreme_cluster_signal,density_signal,unverified_high_rating_signal,reviewer_extreme_signal,bot_text_signal,complaint_only_discount,fraud_signal_count,review_text,review_text_preview
6471852363,Shahnaz Husain Revival diamond facial kit 40 (Set of 4),Shahnaz Husain Revival diamond facial kit 40 (Set of 4),6471852363,2018-04-01,1d1ac7b94356e7b180a5da8369367e01b6aaf2353213715b27b06f9f51190773,AFTAG4GQCEDI2VHV2GEYAS6BY2RA,2018-04-26,Hopeless product and insufficient quantity,True,1.0,0.9305238398611366,0.6319412728750027,85.0,18.0,0.0,0.0,0.0,1.0,2.0,-2.0,1.5,2.0,0.5,0.0,0.5,0.05970149253731343,0.0,4.722222222222222,0.18888888888888888,0.0,4.5,1.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.5555555555555556,1.0,0.0,4.0,"Do not waste ur money
There was no facial cream
It had 2 lotion
Mask bottle was empty","Do not waste ur money
There was no facial cream
It had 2 lotion
Mask bottle was empty"
B00011JN5G,American International Industries Clean + Easy Deluxe Electrolysis Home for Coarse Hair,American International Industries Clean + Easy Deluxe Electrolysis Home for Coarse Hair,B00011JN5G,2017-10-01,54ee10dac2022470516181f7ec78de4f44893219ec99ff8146e9a784bcbb14a1,AGMMXOLQRNHA4L6YSXVS4NELGK3A,2017-10-20,I love this product,False,5.0,0.25169985644655574,0.7531282657638553,318.0,58.0,2.0,0.0,0.0,1.0,2.175925925925926,2.175925925925926,5.0,2.0,1.0,1.0,0.0,0.02,0.0,5.482758620689655,0.21931034482758618,0.0,0.0,0.0,4.0,14.5,0.7257781096499719,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.7253086419753086,1.0,0.5,1.0,0.5,1.0,1.0,0.21931034482758618,0.0,6.0,"I love this product. I wish it had been available 2 decades ago before I spent an enormous amount of money on products and services for hair removal - some of which weren't effective at all. As with everything, there is a learning a curve mastering this device. It's not that difficult - and totally worth the effort!!","I love this product. I wish it had been available 2 decades ago before I spent an enormous amount of money on products and services for hair removal - some of which weren't effective at all. As with everything, there is a learning a curve mastering this device. It's not that difficult - and totally worth the effort!!"
B00011JN5G,American International Industries Clean + Easy Deluxe Electrolysis Home for Coarse Hair,American International Industries Clean + Easy Deluxe Electrolysis Home for Coarse Hair,B00011JN5G,2017-10-01,54ee10dac2022470516181f7ec78de4f44893219ec99ff8146e9a784bcbb14a1,AGMMXOLQRNHA4L6YSXVS4NELGK3A,2017-10-20,I love this product,False,5.0,0.25169985644655574,0.7531282657638553,318.0,58.0,2.0,0.0,0.0,1.0,2.175925925925926,2.175925925925926,5.0,2.0,1.0,1.0,0.0,0.02,0.0,5.482758620689655,0.21931034482758618,0.0,0.0,0.0,4.0,14.5,0.7257781096499719,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.7253086419753086,1.0,0.5,1.0,0.5,1.0,1.0,0.21931034482758618,0.0,6.0,"I love this product. I wish it had been available 2 decades ago before I spent an enormous amount of money on products and services for hair removal - some of which weren't effective at all. As with everything, there is a learning a curve mastering this device. It's not that difficult - and totally worth the effort!!","I love this product. I wish it had been available 2 decades ago before I spent an enormous amount of money on products and services for hair removal - some of which weren't effective at all. As with everything, there is a learning a curve mastering this device. It's not that difficult - and totally worth the effort!!"
B0002SGSNI,China Glaze Strong Adhesion Base Coat .50 oz.,China Glaze Strong Adhesion Base Coat .50 oz.,B0002SGSNI,2019-03-01,0c79457cdce4d7b1d9f2a6e93b978a324d497b35312f2b770ca6d228902e9c6c,AG4CXC2NWO3RAWPEN7L5T7VVEDPA,2019-03-16,Amazing Nail Polish,True,5.0,0.17958633596504617,0.6113630277118743,69.0,14.0,0.0,0.0,0.0,1.0,0.8292682926829267,0.8292682926829267,5.0,1.0,1.0,1.0,0.0,0.10909090909090909,0.0,4.928571428571429,0.19714285714285715,0.0,0.0,0.0,2.0,7.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.05985714285714286,0.0,1.0,1,0.0,1.0,0.2764227642276422,0.0,1.0,0.8888888888888888,0.6666666666666666,0.0,1.0,0.19714285714285715,0.0,4.0,Best thats out there. I will never use anything else EVER so worth it,Best thats out there. I will never use anything else EVER so worth it
B000CSH3YG,SALUX Nylon Japanese Beauty Skin Bath Wash cloth Towel Yellow,SALUX Nylon Japanese Beauty Skin Bath Wash cloth Towel Yellow,B000CSH3YG,2014-09-01,028abe6be06806bb9ceaa63f8d6fc562a8e12f47f8591caf5b90d870c87ac3d9,AE6UV4EOYVPFDIVV5G73UKVMJPUQ,2014-09-16,Five Stars,False,5.0,0.06728230632054899,0.7017735455322084,80.0,14.0,0.0,0.0,0.0,1.0,0.540322580645161,0.540322580645161,5.0,1.0,1.0,1.0,0.0,0.015384615384615385,0.0,5.714285714285714,0.22857142857142856,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16142857142857142,0.0,1.0,1,0.0,1.0,0.18010752688172035,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.22857142857142856,0.0,5.0,It's so practical for reaching the areas of your back that you otherwise cannot.,It's so practical for reaching the areas of your back that you otherwise cannot.
B000EPUQKK,Philips Norelco 9190XL SmartTouchXL Shaver,Philips Norelco 9190XL SmartTouchXL Shaver,B000EPUQKK,2007-10-01,b686cb76d0f736498b72287416a1578be89cac802afbd91b3e05db9ff987f598,AG37YAY5W5I4UHLFINJPBIYTVQPQ,2007-10-13,Only shaves well on face. Causes irritation on neck. Impossible to get a complete clean shave. Norelco Customer Service not good,False,1.0,0.9333368848772304,0.6433336884877231,1347.0,256.0,1.0,0.0,0.0,1.0,3.4102564102564106,-3.4102564102564106,1.0,1.0,1.0,0.0,1.0,0.044172932330827065,0.0,5.26171875,0.21046875,0.0,34.5,1.0,11.0,23.272727272727273,0.8109585739072926,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,5.0,"PROS;

Last forever on a single full charge
VERY quick easy shave
Good solid product
Easy to use
Provides a pretty close shave compared to blades
Great on face area
Extremely and amazingly quiet

CONS;

Totally useless on chin, neck area
Causes irritation
Useless on sideburns even with the pop up trimmer
Customer Service number leaves you on hold forever and then cuts you off.

I bought this electric razor for my husband after reading MANY reviews and decided it sounds like a good one.
It is a good one but for some reason it does a real terrible job on the non facial areas. Doesn't catch longer hairs at all. You have to stretch out the skin on neck area to try and shave it and then it causes a slight rash.
The shave is pretty close which is amazing. Nice to have a husband with a smooth face in a minute.

Shame he looked like he has just starting shaving as there were odd hairs all over his neck and sideburns, and inflammed patchy skin where he tried to catch all the hairs.

We thought we'd try it for 21 days as they have a money back gurantee but I emailed customer service last week, they gave me a number to call, I called it and it put me on hold for a long time and then couldn't take my call and hung up on me. Maybe because its Saturday and they're really busy but overall experience with this razor and the company? NEGATIVE","PROS;

Last forever on a single full charge
VERY quick easy shave
Good solid product
Easy to use
Provides a pretty close shave compared to blades
Great on face area
Extremely and amazingly quiet

CONS;

Totally useless on chin, neck area
Causes irritation
Useless on sideburns even with the pop up trimmer
Customer Service number leaves you on hold forever and then cuts you off.

I bought this electric razor for my husband after reading MANY reviews and decided it sounds like a good one.
It is a good one but for some reason it does a real terrible job on the non facial areas. Doesn't catch longer hairs at all. You have to stretch out the skin on neck area to try and shave it and then it causes a slight rash.
The shave is pretty close which is amazing. Nice to have a husband with a smooth face in a minute.

Shame he looked like he has just starting shaving as there were odd hairs all over his neck and sideburns, and inflammed patchy skin where he tried to catch all the hairs.

We thought we'd try it for 21 days as they have a money back gurantee but I emailed customer service last week, they gave me a number to call, I called it and it put me on hold for a long time and then couldn't take my call and hung up on me. Maybe because its Saturday and they're really busy but overall experience with this razor and the company? NEGATIVE"
B000FEIOHW,Philips Sonicare HX3351/02 Xtreme Battery Operated Toothbrush,Philips Sonicare HX3351/02 Xtreme Battery Operated Toothbrush,B000FEIOHW,2008-02-01,e35cb9bffe5d369d83ee6a87a1e119207da9d6756e8b060e28dfa8e0828068a9,AFP2B3BMSFNEH6GYKWSIOSP3JFBQ,2008-02-10,Engineered to fail,True,1.0,1.0,0.625,2832.0,496.0,5.0,0.0,0.0,1.0,3.0677290836653386,-3.0677290836653386,1.0,1.0,1.0,0.0,1.0,0.012477718360071301,0.0,5.709677419354839,0.22838709677419355,0.0,18.0,1.0,20.0,24.8,0.5122078873613037,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.25,1.0,1.0,0.0,1.0,1.0,0.0,5.0,"This product is good while it lasts; it'll clean your teeth better than almost anything out there (unless you have tartar, then you'll need something with a bit more power) and stimulate your gums.  However, having autopsied this model, I am convinced that it was engineered to fail under typical conditions after a time, perhaps to motivate the purchase of a more expensive model, which will itself become useless when the irreplaceable batteries go out.

The first one I bought lasted a year, and even that long only after I learned that you have to plug the two holes in the back of the battery compartment to prevent the corrosion from taking place.  By the end, batteries were lasting one week tops, at 2x use per day.  I also learned that you have to hit it against hard objects when it won't turn on and sometimes then it'll go.  You also need to scrape off any rust from the battery contacts occasionally.

Knowing these quirks, I bought another one and immediately plugged up the holes in the back and put tape around the battery cap.  However, it has now lasted only a month.  There's no rust or corrosion to speak of, however, it just doesn't turn on anymore.

Today I autopsied the first sonicare to see why it had failed (the new one is still on warranty).  In taking it apart, it's clear that most of your money goes into buying a tank-like shell around the $1 worth of electronics.  This would be a good thing, if there were not two gaping holes in the battery cap that let water in anyway and the shoddy rubber seal.  After taking it apart, it's clear why the corrosion so quickly leads the failure.  They protect everything on the circuit-board from corrosion by putting glue over it, except the battery contacts, and the contacts and wires that lead to the solenoid coil (that makes the brush vibrate).  The contacts that lead to the solenoid and the battery contacts are also strategically located next to each other on the circuit board, so they can corrode together quickly using any moisture from the adjacent battery-terminal holes, while the non-essentials like the timer are located on the other side of the board and completely sealed off from the ambient air by glue.  This also explains why hitting it sometimes allows it to start; you're shaking some of the corrosion loose.

The switch is also of questionable design, being nothing more than a paper-thin piece of plastic with some kind ring on it that's slightly more conductive than the plastic.

If the replacement that I get out of the warranty fails, I think I'll try a cybersonic or an oral-b; hopefully their teams of engineers weren't paid to make something less reliable than a politician.

Why can't they make a sonic toothbrush with no batteries, that plugs into the wall, and lasts a lifetime?  Or just quit making these to fail so readily?","This product is good while it lasts; it'll clean your teeth better than almost anything out there (unless you have tartar, then you'll need something with a bit more power) and stimulate your gums.  However, having autopsied this model, I am convinced that it was engineered to fail under typical conditions after a time, perhaps to motivate the purchase of a more expensive model, which will itself become useless when the irreplaceable batteries go out.

The first one I bought lasted a year, and even that long only after I learned that you have to plug the two holes in the back of the battery compartment to prevent the corrosion from taking place.  By the end, batteries were lasting one week tops, at 2x use per day.  I also learned that you have to hit it against hard objects when it won't turn on and sometimes then it'll go.  You also need to scrape off any rust from the battery contacts occasionally.

Knowing these quirks, I bought another one and immediately plugged up the holes in the back and put tape around the battery cap.  However, it has now lasted only a month.  There's no rust or corrosion to speak of, however, it just doesn't turn on anymore.

Today I autopsied the first sonicare to see why it had failed (the new one is still on warranty).  In taking it apart, it's clear that most of your money goes into buying a tank-like shell around the $1 worth of electronics.  This would be a good thing, if there were not two gaping holes in the battery cap that let water in anyway and the shoddy rubber seal.  After taking it apart, it's clear why the corrosion so quickly leads the failure.  They protect everything on the circuit-board from corrosion by putting glue over it, except the battery contacts, and the contacts and wires that lead to the solenoid coil (that makes the brush vibrate).  The contacts that lead to the solenoid and the battery contacts are also strategically located next to each other on the circuit board, so they can corrode together quickly using any moisture from the adjacent battery-terminal holes, while the non-essentials like the timer are located on the other side of the board and completely sealed off from the ambient air by glue.  This also explains why hitting it sometimes allows it to start; you're shaking some of the corrosion loose.

The switch is also of questionable design, being nothing more than a paper-thin piece of plastic with some kind ring on it that's slightly more conductive than the plastic.

If the replacement that I get out of the warranty fails, I think I'll try a cybersonic or an oral-b; hopefully their teams of engineers weren't paid to make something less reliable than a politician.

Why can't they make a sonic toothbrush with no batteries, that plugs into the wall, and lasts a lifetime?  Or just quit making these to fail so readily?"
B000G8LWZI,Alpha Hydrox AHA Souffle Soothing Anti-Wrinkle 1.6 oz.,Alpha Hydrox AHA Souffle Soothing Anti-Wrinkle 1.6 oz.,B000G8LWZI,2010-11-01,091803f27df6d6d09a363d8b449cd8b93898b23640b48af7b35a98311e304658,AGTKH2UKTCJNZX7KIBCCXBWBY3KA,2010-11-22,Breakouts are worst I've ever had,False,1.0,0.804672416731041,0.6304672416731042,994.0,180.0,5.0,0.0,0.0,1.0,3.2946428571428568,-3.2946428571428568,1.0,1.0,1.0,0.0,1.0,0.03820816864295125,1.0,5.522222222222222,0.22088888888888888,0.0,0.0,0.0,18.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,5.0,"I really wanted to love this after reading all the great reviews.  I've been using it for about five months now.  The breakouts are UNBEARABLE.  I get pimples!! under my chin, on my neck, under my nose, on my nose, on my forehead.....I break out terribly.  I thought, after reading the reviews, that this would pass and the benefits would far outweigh the breakouts but this product has made me break out worse than anything else I've ever tried.  I went so far as to purchase their foaming face wash and moisturizer to see if using products from the same line would lessen the breakouts.  I hate my complexion right now.  I don't see any benefit.  Sorry.  What was this product supposed to do again?  I have to reiterate....terrible terrible pimples.  Gross.  I haven't broken out this badly since I was a teenager.  I'm embarrassed.  Still have an unopened jar so the good thing is that I didn't spend $50 for a jar so it won't bother me so much to give it away to someone that might like it!","I really wanted to love this after reading all the great reviews.  I've been using it for about five months now.  The breakouts are UNBEARABLE.  I get pimples!! under my chin, on my neck, under my nose, on my nose, on my forehead.....I break out terribly.  I thought, after reading the reviews, that this would pass and the benefits would far outweigh the breakouts but this product has made me break out worse than anything else I've ever tried.  I went so far as to purchase their foaming face wash and moisturizer to see if using products from the same line would lessen the breakouts.  I hate my complexion right now.  I don't see any benefit.  Sorry.  What was this product supposed to do again?  I have to reiterate....terrible terrible pimples.  Gross.  I haven't broken out this badly since I was a teenager.  I'm embarrassed.  Still have an unopened jar so the good thing is that I didn't spend $50 for a jar so it won't bother me so much to give it away to someone that might like it!"
B000G8LWZI,Alpha Hydrox AHA Souffle Soothing Anti-Wrinkle 1.6 oz.,Alpha Hydrox AHA Souffle Soothing Anti-Wrinkle 1.6 oz.,B000G8LWZI,2015-05-01,435996468b6a24dbc8d122aa4a2d8408d0cfc615d098b53c159ac5779ac1141b,AFTWFW7UYSMOC72IXHF7RUHX4XYQ,2015-05-06,Five Stars,True,5.0,0.10572615047303693,0.7397630912377798,20.0,4.0,0.0,0.0,0.0,1.0,0.7053571428571432,0.7053571428571432,5.0,1.0,1.0,1.0,0.0,0.0625,0.0,5.0,0.2,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.0,1,1.0,1.0,0.23511904761904776,0.0,0.2,1.0,0.6666666666666666,0.0,1.0,0.2,0.0,4.0,Working good so far.,Working good so far.
B000GBICYE,Precision Clean Oral-B Vitality Rechargeable Electric Toothbrush,Precision Clean Oral-B Vitality Rechargeable Electric Toothbrush,B000GBICYE,2008-12-01,5881004456cfdc3f16d2f70cf9d99bd8f240160a39197692ddedb3361abbbf8b,AG4YEF2KY3FFRKVFCTCPTXEL4HFA,2008-12-20,Great toothbrush,False,5.0,0.056901237167630125,0.6155087850565811,94.0,19.0,1.0,0.0,0.0,1.0,0.6237623762376234,0.6237623762376234,5.0,1.0,1.0,1.0,0.0,0.02702702702702703,0.0,4.947368421052632,0.19789473684210526,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15989473684210526,0.0,1.0,1,0.0,1.0,0.2079207920792078,0.0,0.25,0.8888888888888888,0.6666666666666666,1.0,1.0,0.19789473684210526,0.0,4.0,"This toothbrush is just as good as the Sonicare one it is replacing, and for a lot less money!","This toothbrush is just as good as the Sonicare one it is replacing, and for a lot less money!"
